Accession	Type	Target	Description	Lab	link
ENCSR000EGS	immortalized cell line	MYC	MYC ChIP-seq on human K562 treated with IFNg30	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGS
ENCSR000EGT	immortalized cell line	IRF1	IRF1 ChIP-seq on human K562 treated with IFNg6h	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGT
ENCSR000EGU	immortalized cell line	IRF1	IRF1 ChIP-seq on human K562 treated with IFNa30	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGU
ENCSR000EGV	immortalized cell line	BHLHE40	BHLHE40 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGV
ENCSR000EGW	immortalized cell line	SMC3	SMC3 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGW
ENCSR000EGX	immortalized cell line	MAFK	MAFK ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGX
ENCSR000EGY	immortalized cell line	EP300	EP300 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGY
ENCSR000EGZ	immortalized cell line	MXI1	MXI1 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGZ
ENCSR000EHA	immortalized cell line	TBP	TBP ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHA
ENCSR000EHB	immortalized cell line	TAL1	TAL1 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHB
ENCSR000EHC	immortalized cell line	GTF2F1	GTF2F1 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHC
ENCSR000EHD	immortalized cell line	CHD2	CHD2 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHD
ENCSR000EHE	immortalized cell line	CEBPB	CEBPB ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHE
ENCSR000EHF	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHF
ENCSR000EHG	immortalized cell line	USF2	USF2 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHG
ENCSR000EHH	immortalized cell line	NRF1	NRF1 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHH
ENCSR000EHJ	immortalized cell line	STAT1	STAT1 ChIP-seq on human K562 treated with IFNg6h	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHJ
ENCSR000EHK	immortalized cell line	STAT1	STAT1 ChIP-seq on human K562 treated with IFNg30	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHK
ENCSR000EHL	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHL
ENCSR000EHN	immortalized cell line	SMARCB1	SMARCB1 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHN
ENCSR000EHO	immortalized cell line	SMARCA4	SMARCA4 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHO
ENCSR000EHP	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562 treated with IFNg30	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHP
ENCSR000EHQ	immortalized cell line	POLR3G	POLR3G ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHQ
ENCSR000EHR	immortalized cell line	MYC	MYC ChIP-seq on human NB4	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHR
ENCSR000EHS	immortalized cell line	MAX	MAX ChIP-seq on human NB4	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHS
ENCSR000EHV	immortalized cell line	EP300	EP300 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHV
ENCSR000EHW	immortalized cell line	SMC3	SMC3 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHW
ENCSR000EHX	immortalized cell line	RAD21	RAD21 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHX
ENCSR000EHY	immortalized cell line	RFX5	RFX5 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHY
ENCSR000EHZ	immortalized cell line	NRF1	NRF1 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EHZ
ENCSR000EIA	immortalized cell line	MXI1	MXI1 ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EIA
ENCSR000EIB	immortalized cell line	JUND	JUND ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EIB
ENCSR000EIC	immortalized cell line	CTCF	CTCF ChIP-seq on human SK-N-SH produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EIC
ENCSR000EUI	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human GM08714	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUI
ENCSR000EUJ	immortalized cell line	IKZF1	IKZF1 ChIP-seq on human GM12878	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUJ
ENCSR000EUK	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human GM12878	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUK
ENCSR000EUL	immortalized cell line	NR2C2	NR2C2 ChIP-seq on human GM12878	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUL
ENCSR000EUM	immortalized cell line	YY1	YY1 ChIP-seq on human GM12878	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUM
ENCSR000EUN	stem cell	ZNF274	ZNF274 ChIP-seq on human H1-hESC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUN
ENCSR000EUO	stem cell	CTBP2	CTBP2 ChIP-seq on human H1-hESC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUO
ENCSR000EUP	stem cell	MAX	MAX ChIP-seq on human H1-hESC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUP
ENCSR000EUQ	stem cell	SUZ12	SUZ12 ChIP-seq on human H1-hESC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUQ
ENCSR000EUU	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HCT-116	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUU
ENCSR000EUV	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human HCT-116	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUV
ENCSR000EUY	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human HEK293	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUY
ENCSR000EUZ	immortalized cell line	TRIM28	TRIM28 ChIP-seq on human HEK293	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EUZ
ENCSR000EVB	immortalized cell line	ELK4	ELK4 ChIP-seq on human HEK293	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVB
ENCSR000EVD	immortalized cell line	ZNF263	ZNF263 ChIP-seq on human HEK293-T-REx	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVD
ENCSR000EVE	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVE
ENCSR000EVF	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVF
ENCSR000EVG	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVG
ENCSR000EVI	immortalized cell line	ELK4	ELK4 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVI
ENCSR000EVJ	immortalized cell line	E2F1	E2F1 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVJ
ENCSR000EVK	immortalized cell line	E2F6	E2F6 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVK
ENCSR000EVL	immortalized cell line	E2F4	E2F4 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVL
ENCSR000EVM	immortalized cell line	E2F1	HA-E2F1 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVM
ENCSR000EVN	immortalized cell line	NR2C2	NR2C2 ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVN
ENCSR000EVO	immortalized cell line	TFAP2C	TFAP2C ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVO
ENCSR000EVP	immortalized cell line	TFAP2A	TFAP2A ChIP-seq on human HeLa-S3	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVP
ENCSR000EVQ	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human HepG2	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVQ
ENCSR000EVR	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human HepG2	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVR
ENCSR000EVS	immortalized cell line	NR2C2	NR2C2 ChIP-seq on human HepG2	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVS
ENCSR000EVU	primary cell	FOS	FOS ChIP-seq on human HUVEC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVU
ENCSR000EVW	primary cell	GATA2	GATA2 ChIP-seq on human HUVEC	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVW
ENCSR000EVX	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVX
ENCSR000EVY	immortalized cell line	TRIM28	TRIM28 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EVY
ENCSR000EWD	immortalized cell line	SETDB1	SETDB1 ChIP-seq on human K562 treated with MNaseD	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWD
ENCSR000EWE	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWE
ENCSR000EWF	immortalized cell line	YY1	YY1 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWF
ENCSR000EWG	immortalized cell line	GATA2	GATA2 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWG
ENCSR000EWH	immortalized cell line	NR2C2	NR2C2 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWH
ENCSR000EWI	immortalized cell line	SETDB1	SETDB1 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWI
ENCSR000EWJ	immortalized cell line	E2F6	E2F6 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWJ
ENCSR000EWL	immortalized cell line	E2F4	E2F4 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWL
ENCSR000EWM	immortalized cell line	GATA1	GATA1 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWM
ENCSR000EWN	immortalized cell line	ZNF263	ZNF263 ChIP-seq on human K562	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWN
ENCSR000EWS	immortalized cell line	GATA3	GATA3 ChIP-seq on human MCF-7	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWS
ENCSR000EWT	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human MCF-7	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWT
ENCSR000EWU	immortalized cell line	ZNF217	ZNF217 ChIP-seq on human MCF-7	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWU
ENCSR000EWV	immortalized cell line	GATA3	GATA3 ChIP-seq on human MCF-7	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWV
ENCSR000EWX	immortalized cell line	E2F1	HA-E2F1 ChIP-seq on human MCF-7	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWX
ENCSR000EWY	immortalized cell line	ZNF274	ZNF274 ChIP-seq on human NT2-D1	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EWY
ENCSR000EXG	immortalized cell line	YY1	YY1 ChIP-seq on human NT2-D1	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXG
ENCSR000EXH	immortalized cell line	SUZ12	SUZ12 ChIP-seq on human NT2-D1	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXH
ENCSR000EXL	immortalized cell line	TCF7L2	TCF7L2 ChIP-seq on human PANC-1	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXL
ENCSR000EXO	primary cell	POLR2A	POLR2A ChIP-seq on human PBDE	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXO
ENCSR000EXP	primary cell	GATA1	GATA1 ChIP-seq on human peripheral derived blood-erythroblast	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXP
ENCSR000EXR	primary cell	GATA1	GATA1 ChIP-seq on human PBDEFetal	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXR
ENCSR000EXX	immortalized cell line	POLR2A	POLR2A ChIP-seq on human Raji	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXX
ENCSR000EXZ	immortalized cell line	GATA3	GATA3 ChIP-seq on human SH-SY5Y	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EXZ
ENCSR000EYB	immortalized cell line	GATA2	GATA2 ChIP-seq on human SH-SY5Y	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EYB
ENCSR000EYC	immortalized cell line	TRIM28	TRIM28 ChIP-seq on human U2OS	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EYC
ENCSR000EYD	immortalized cell line	SETDB1	SETDB1 ChIP-seq on human U2OS	Peggy Farnham, USC	https://www.encodeproject.org/experiments/ENCSR000EYD
ENCSR000EYU	immortalized cell line	POLR3G	POLR3G ChIP-seq on human GM12878	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EYU
ENCSR000EYV	immortalized cell line	JUND	JUND ChIP-seq on human GM12878	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EYV
ENCSR000EYW	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM12878	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EYW
ENCSR000EYZ	immortalized cell line	FOS	FOS ChIP-seq on human GM12878	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EYZ
ENCSR000EZA	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HEK293	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZA
ENCSR000EZC	immortalized cell line	SMARCA4	SMARCA4 ChIP-seq on human HeLa-S3	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZC
ENCSR000EZD	immortalized cell line	MYC	MYC ChIP-seq on human HeLa-S3	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZD
ENCSR000EZE	immortalized cell line	FOS	FOS ChIP-seq on human HeLa-S3	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZE
ENCSR000EZF	immortalized cell line	MAX	MAX ChIP-seq on human HeLa-S3	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZF
ENCSR000EZK	immortalized cell line	STAT1	STAT1 ChIP-seq on human HeLa-S3 treated with IFNg for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZK
ENCSR000EZL	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HeLa-S3	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZL
ENCSR000EZO	immortalized cell line	SREBF2	SREBF2 ChIP-seq on human HepG2 treated with pravastatin	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZO
ENCSR000EZP	immortalized cell line	SREBF1	SREBF1 ChIP-seq on human HepG2 treated with pravastatin	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZP
ENCSR000EZQ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HepG2 treated with pravastatin	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZQ
ENCSR000EZT	immortalized cell line	JUN	JUN ChIP-seq on human K562 treated with IFNg for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZT
ENCSR000EZU	immortalized cell line	MYC	MYC ChIP-seq on human K562 treated with IFNg for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZU
ENCSR000EZV	immortalized cell line	MYC	MYC ChIP-seq on human K562 treated with IFNa for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZV
ENCSR000EZW	immortalized cell line	JUN	JUN ChIP-seq on human K562 treated with IFNg for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZW
ENCSR000EZX	immortalized cell line	JUN	JUN ChIP-seq on human K562 treated with IFNa for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000EZX
ENCSR000FAC	immortalized cell line	XRCC4	XRCC4 ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAC
ENCSR000FAD	immortalized cell line	RAD21	RAD21 ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAD
ENCSR000FAE	immortalized cell line	MAX	MAX ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAE
ENCSR000FAF	immortalized cell line	NFE2	NFE2 ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAF
ENCSR000FAG	immortalized cell line	MYC	MYC ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAG
ENCSR000FAH	immortalized cell line	JUN	JUN ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAH
ENCSR000FAI	immortalized cell line	FOS	FOS ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAI
ENCSR000FAJ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAJ
ENCSR000FAL	immortalized cell line	POLR2A	POLR2A ChIP-seq on human NB4	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAL
ENCSR000FAT	immortalized cell line	STAT2	STAT2 ChIP-seq on human K562 treated with IFNa for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAT
ENCSR000FAU	immortalized cell line	STAT1	STAT1 ChIP-seq on human K562 treated with IFNa for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAU
ENCSR000FAV	immortalized cell line	STAT1	STAT1 ChIP-seq on human K562 treated with IFNa for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAV
ENCSR000FAW	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562 treated with IFNg for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAW
ENCSR000FAX	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562 treated with IFNa for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAX
ENCSR000FAY	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562 treated with IFNa for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAY
ENCSR000FAZ	immortalized cell line	MYC	MYC ChIP-seq on human K562 treated with IFNa for 30 minutes	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FAZ
ENCSR000FBC	immortalized cell line	STAT2	STAT2 ChIP-seq on human K562 treated with IFNa for 6 hours	Sherman Weissman, Yale	https://www.encodeproject.org/experiments/ENCSR000FBC
